Date,Price
5/28/2022,160.8574404
5/29/2022,155.1658658
5/30/2022,151.4105604
5/31/2022,149.3081685
6/1/2022,137.6777502
6/2/2022,148.1131542
6/3/2022,165.8248585
6/4/2022,166.2878683
6/5/2022,143.5846584
6/6/2022,141.7917268
6/7/2022,152.2995738
6/8/2022,161.6672062
6/9/2022,157.2404573
6/10/2022,145.3621737
6/11/2022,143.3774836
6/12/2022,151.6349163
6/13/2022,146.3464541
6/14/2022,137.0410222
6/15/2022,150.1938699
6/16/2022,159.5260972
6/17/2022,137.1361026
6/18/2022,153.5708002
6/19/2022,136.0102155
6/20/2022,151.7383331
6/21/2022,151.922845
6/22/2022,161.3302027
6/23/2022,161.2621313
6/24/2022,169.2681622
6/25/2022,145.6763798
6/26/2022,152.7904974
6/27/2022,144.4113165
6/28/2022,136.0522847
6/29/2022,152.4666001
6/30/2022,126.1774473
7/1/2022,152.2432182
7/2/2022,144.5117204
7/3/2022,157.0068862
7/4/2022,153.8117398
7/5/2022,151.4213036
7/6/2022,150.1338312
7/7/2022,157.3872666
7/8/2022,132.1533155
7/9/2022,153.511373
7/10/2022,153.1928727
7/11/2022,144.2166268
7/12/2022,155.1418681
7/13/2022,157.2154847
7/14/2022,131.2412165
7/15/2022,156.657251
7/16/2022,148.4654894
7/17/2022,155.1343812
7/18/2022,158.7013098
7/19/2022,158.0377967
7/20/2022,136.7003083
7/21/2022,152.4970747
7/22/2022,162.0585538
7/23/2022,160.1221251
7/24/2022,152.1501773
7/25/2022,138.8325165
7/26/2022,148.4468926
7/27/2022,145.7562361
7/28/2022,154.1076392
7/29/2022,150.1270907
7/30/2022,154.1273084
7/31/2022,145.89832
8/1/2022,149.8617942
8/2/2022,162.0814236
8/3/2022,157.1196478
8/4/2022,168.7145995
8/5/2022,138.0427689
8/6/2022,131.4664388
8/7/2022,136.8396211
8/8/2022,159.3338669
8/9/2022,160.1988637
8/10/2022,149.8368464
8/11/2022,136.5219067
8/12/2022,145.8750722
8/13/2022,147.3552718
8/14/2022,140.3460272
8/15/2022,154.0570481
8/16/2022,149.4660892
8/17/2022,153.5081
8/18/2022,160.0392691
8/19/2022,146.3210131
8/20/2022,150.5303446
8/21/2022,151.5397814
8/22/2022,147.8947982
8/23/2022,147.4853193
8/24/2022,154.0022028
8/25/2022,141.3329559
8/26/2022,161.6899599
8/27/2022,145.7491768
8/28/2022,136.4507484
8/29/2022,139.3582245
8/30/2022,152.8177901
8/31/2022,133.5372783
9/1/2022,146.8338205
9/2/2022,150.8650036
9/3/2022,159.3385308
9/4/2022,146.8455395
9/5/2022,153.8217419
9/6/2022,138.1644549
9/7/2022,151.3228713
9/8/2022,149.0339279
9/9/2022,148.6560113
9/10/2022,150.2941099
9/11/2022,144.3957715
9/12/2022,151.5838619
9/13/2022,151.6251614
9/14/2022,139.299906
9/15/2022,144.8985388
9/16/2022,156.2943905
9/17/2022,127.9746137
9/18/2022,155.962756
9/19/2022,148.0882789
9/20/2022,154.5264966
9/21/2022,152.9325469
9/22/2022,152.6222324
9/23/2022,165.1829283
9/24/2022,160.5954124
9/25/2022,146.7281219
9/26/2022,142.4964711
9/27/2022,170.437124
9/28/2022,150.9998658
9/29/2022,161.378978
9/30/2022,149.154787
10/1/2022,146.7920175
10/2/2022,150.8563466
10/3/2022,153.5477561
10/4/2022,141.0356404
10/5/2022,147.4115169
10/6/2022,135.6972316
10/7/2022,159.4088032
10/8/2022,133.1090336
10/9/2022,161.6306837
10/10/2022,152.6253898
10/11/2022,158.6544872
10/12/2022,168.0359093
10/13/2022,161.5133233
10/14/2022,157.0181676
10/15/2022,140.3464733
10/16/2022,162.8435231
10/17/2022,123.2392133
10/18/2022,148.0495108
10/19/2022,142.8418168
10/20/2022,166.9792387
10/21/2022,157.5913949
10/22/2022,165.6776322
10/23/2022,156.3762165
10/24/2022,166.0661887
10/25/2022,136.1848552
10/26/2022,158.7383045
10/27/2022,138.7460894
10/28/2022,156.0978727
10/29/2022,161.2131582
10/30/2022,144.8158952
10/31/2022,164.3150826
11/1/2022,169.3524146
11/2/2022,148.8084248
11/3/2022,162.1124612
11/4/2022,160.0421603
11/5/2022,165.4751337
11/6/2022,134.2396595
11/7/2022,162.5381952
11/8/2022,160.9850823
11/9/2022,151.0587434
11/10/2022,150.968589
11/11/2022,153.9831292
11/12/2022,158.3670046
11/13/2022,158.7660761
11/14/2022,143.727279
11/15/2022,153.9002087
11/16/2022,151.9253653
11/17/2022,161.4564802
11/18/2022,147.1786624
11/19/2022,139.5252866
11/20/2022,142.022603
11/21/2022,135.1730249
11/22/2022,150.9918245
11/23/2022,134.1078892
11/24/2022,150.0271628
11/25/2022,144.3082867
11/26/2022,165.7745625
11/27/2022,144.0611662
11/28/2022,159.2991995
11/29/2022,138.8140975
11/30/2022,145.9521294
12/1/2022,143.7678918
12/2/2022,155.9453819
12/3/2022,152.0901809
12/4/2022,123.7581235
12/5/2022,147.3224818
12/6/2022,139.4970954
12/7/2022,158.177028
12/8/2022,167.0929846
12/9/2022,145.7363145
12/10/2022,157.0761609
12/11/2022,137.8632683
12/12/2022,131.0739639
12/13/2022,159.0176406
12/14/2022,154.8584396
12/15/2022,148.8505595
12/16/2022,143.4207407
12/17/2022,145.3325601
12/18/2022,157.7048328
12/19/2022,156.8914683
12/20/2022,144.9673569
12/21/2022,126.2158346
12/22/2022,152.2904513
12/23/2022,149.3583477
12/24/2022,133.3564272
12/25/2022,127.3548484
12/26/2022,155.2679418
12/27/2022,138.3658648
12/28/2022,163.8119595
12/29/2022,147.8558695
12/30/2022,147.4889597
12/31/2022,154.9385758
